City,lat,long
Paris,48.86,2.29
Marseille,43.3050158,5.3678461
Lyon,45.7609378,4.834162399999999
Toulouse,43.605008,1.443139
Nice Ville,43.7076464,7.2821424
Nantes,47.216145,-1.543225
Strasbourg,48.58486389999999,7.745490599999999
Montpellier,43.60967,3.8853787
Bordeaux,44.8277639,-0.5944847
Rennes,48.1152187,-1.6830709
Le Havre,49.4917916,0.1186897
Reims,49.2592966,4.025657799999999
Lille,50.6313675,3.0654478
Saint-Étienne,45.4390088,4.3886181
Toulon,43.1198236,5.9352851
Grenoble,48.311497,0.943777
Angers,47.4692016,-0.5497215
Dijon,47.32796,5.051065
Brest,48.3849182,-4.4928184
Le Mans,48.0018543,0.2034918
Clermont-Ferrand,45.7714779,3.083363
Amiens,49.8910806,2.3095644
Aix-en-Provence,43.525801,5.444217999999999
Limoges,45.8300738,1.2558771
Nîmes,43.837755,4.363834
